job_title,company,job_location,job_summary,post_date,today,job_salary,job_url
Data Analyst,SISL Infotech Pvt. Ltd.,Maharashtra,"The Connected Services Division supplies software services to the mobile communications industry.,Intermediate skills of Python libraries (Numpy, Pandas, core…",Posted6 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=5c6afe459eef335f&fccid=42fa333807944501&vjs=3
Sr. Data Analyst,miracle hub,"Surat, Gujarat","3+ years experience mining data as a data analyst.,Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that…",EmployerActive 13 days ago,2022-07-26,"₹16,467 - ₹51,000 a month",https://in.indeed.com/company/miracle-hub/jobs/Senior-Data-Analyst-8e06bcd8e388aeed?fccid=1ea46108f472519b&vjs=3
Analyst / Consultant - Tax Automation and Data Management,Deloitte,"Gurgaon, Haryana","Execute data intensive tasks and facilitate organization of data for reporting requirements.,Apply your technology skills in areas like programming applications…",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=8e62df5f658c66d9&fccid=9e215d88a6b33622&vjs=3
Data Analyst,"Neustar, Inc.","Hyderabad, Telangana","Analyze data and identify data pattern to bring data insight.,Build story around the data findings and explain in simple words.,R-4484 Data Analyst (Open).",Posted13 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=f9fbd2f5515a7cb9&fccid=53a094c6caf93c04&vjs=3
Finance Reference Data operations analyst,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka","Support the sourcing of data into the Risk and Finance applications.,Monitor, track, and report on the timeliness and completeness of source data.",Posted6 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=4635ea19c8c38ea6&fccid=aaf3b433897ea465&vjs=3
ESG Data Analyst,Almug Technologies Pvt Ltd,"Bengaluru, Karnataka","They should have curiosity on fundamental concepts including, but not limited to, key financial metrics & ratios, credit covenants & issuer plus security meta…",EmployerActive 4 days ago,2022-07-26,"₹2,00,000 - ₹2,40,000 a year",https://in.indeed.com/company/Almug-Technologies-Pvt-Ltd/jobs/Esg-Data-Analyst-ed145e029bb0f617?fccid=2667dfb1ce822c78&vjs=3
Immediate requirement for Data Analytics - WFO - Mumbai Loca...,Talent Corner HR Services Private Limited,"Mumbai, Maharashtra","Solve the data problem at scale.,In addition to solving the data problems, interact with the leading companies including Fortune 500 to tell them how to use…",EmployerActive 3 days ago,2022-07-26,"₹3,00,000 - ₹8,00,000 a year",https://in.indeed.com/company/Talent-Corner-HR-Services-Private-Limited/jobs/Requirement-Data-Analytic-3cd087218a23c79f?fccid=0f289a6509f42c20&vjs=3
Clinical Data Analyst,ParadigmIT Technology Services,India,"Strong understanding of data management plans/customer specifications for data entry screens, edit checks, custom reports, and data integrations.",Posted19 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=e0353bda150c4eb6&fccid=a6466d761ff5536a&vjs=3
BA4 Data Analyst,Barclays,"Pune, Maharashtra+1 location","Support data quality issue & measures related activity in partnership with domain data.,Support annual attestation activities of critical data flows.",Posted13 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=ade063992a3983dd&fccid=057abf3fd357e717&vjs=3
Data Analyst(BI),Tax Genie,"Mumbai, Maharashtra","The candidate will be performing finance relate analysis and find, pattern, insights and values which we can provide to customers using Python, Power…",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=33c7b592e90f5078&fccid=bdcf25e6e877ce61&vjs=3
Senior Data Analyst,sRide Tech Pvt Ltd,"Pune, Maharashtra","Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,…",EmployerActive 11 days ago,2022-07-26,"₹8,00,000 - ₹11,00,000 a year",https://in.indeed.com/company/sRide-Tech-Pvt-Ltd/jobs/Senior-Data-Analyst-0b185422107e966c?fccid=4a134ab5df554fbb&vjs=3
Data Analyst - Tech,Magenta,"Bengaluru, Karnataka","Developing and maintaining databases and data systems – reorganising data in a readable format.,Developing and implementing data analyses, data collection…",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=49340063c524a8d7&fccid=50cae00969b8dbf2&vjs=3
Digital Analyst - LiveOps Data Science - QuantumBlack Labs,McKinsey & Company,"Gurgaon, Haryana","You will apply data science expertise to assure sustainable impact of ML solutions developed.,Identify proactive remedial strategies to prevent future data…",Posted6 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=761791a84ae62c1d&fccid=6576e7250aa78c3c&vjs=3
DG - Business Analyst - Data Analytics,Genpact,"Kolkata, West Bengal","Large Volume/Multiple Source - data conversion, data cleansing, report creation.,Perform Data validation to ensure accuracy and quality of data.",PostedToday,2022-07-26,,https://in.indeed.com/rc/clk?jk=7bbe9e2a7c06184f&fccid=afe30394bfba1470&vjs=3
Business Intelligence Consultant,Lagozon Technologies Pvt Ltd,"Delhi, Delhi","Identifying appropriate data, data quality assessment, developing analytics and data visualisation.,Collect data by using a scripting language such as SQL –…",PostedToday,2022-07-26,"₹9,00,000 - ₹18,00,000 a year",https://in.indeed.com/company/Lagozon-technologies-Pvt-Ltd/jobs/Business-Intelligence-Consultant-2cac93e568cd8dd9?fccid=6f40fe1defe978f0&vjs=3
"Specialist, Data/Business Analyst",DBS Bank,Maharashtra,"In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery…",Posted14 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=77260b478fc6566a&fccid=cc1f9ea511d140fe&vjs=3
Data Analyst- Liabilities,IDFC FIRST Bank,"Mumbai, Maharashtra","Document process ,data codes, data repository, data request , log book for audit and learning purpose.,Before sharing of any data (customer sensitive) ensure…",Posted25 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=47f6e0f79baedbe0&fccid=c1340f0b335b9dd7&vjs=3
Business Analyst,Careervira,"Gurgaon, Haryana","Use data to create models that depict trends in the data and generate Insights.,Technical proficiency regarding database design development, data models,…",Posted4 days ago,2022-07-26,"₹8,00,000 - ₹10,00,000 a year",https://in.indeed.com/company/Ideas-At-Scale/jobs/Business-Analyst-abf31e1af5d2d936?fccid=685b310421b2c19a&vjs=3
Data Analyst,EaseMyTrip,"Noida, Uttar Pradesh","Extract the customer data from various data sources.,Create a structured and well-defined data overview by analyzing the customer data from multiple sources.",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=a47e36dfb0eef767&fccid=572def7985549ab3&vjs=3
Data Analyst,Tamilnadu goverment,"Chennai, Tamil Nadu","Must go to the office daily.,Job Types: Full-time, Regular / Permanent.,Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work …",EmployerActive 3 days ago,2022-07-26,"₹15,000 - ₹25,000 a month",https://in.indeed.com/company/TIMESMED-HEALTHSOFT/jobs/Data-Analyst-5cae5ced6971e147?fccid=21c665b814fe14c2&vjs=3
"Analyst -Operational Risk, Data Monitoring(Risk Management)",Morgan Stanley,"Mumbai, Maharashtra","Effectively communicate with various internal stakeholders for data standard resolution.,Support Internal Audit and Regulatory requests with accurate data and…",Posted6 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=e5d35e7d1623dc99&fccid=0c39fb2c91742dcf&vjs=3
Data Analyst (Power BI),Thermo Fisher Scientific,"Bengaluru, Karnataka","0-2 years experienced in data analysis, data modelling and business reporting, or.,Automatic Data validation and data compliance.,Key Objectives of the role:",Posted20 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=a7dc1d3ec1ec7f1c&fccid=126e3afd205caa95&vjs=3
Data Analyst,Standard Chartered,"Bengaluru, Karnataka+1 location","Ability to connect business problems / requirements & with available data & provide / suggest best design & solution.,This is an Individual Contributor Role.",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=ed5b6a85b5bdbe7e&fccid=5249cd8e17163cb5&vjs=3
Data Quality Analyst,Fragomen,"Kochi, Kerala",We are seeking a highly capable data quality analyst to develop procedures to enhance the accuracy and integrity of our organization's data.,Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=f478c2b06d7173f5&fccid=74b6e04d2c54596f&vjs=3
Data Analyst-Turbo Cross Sell,IDFC FIRST Bank,"Airoli, Navi Mumbai, Maharashtra","Role/Job Title – Data Analyst-Turbo Cross Sell.,Function/Department - Turbo Cross Sell.,To understand the system enhancements required to better the existing…",Posted4 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=3c9b0273dce03a98&fccid=c1340f0b335b9dd7&vjs=3
Data Specialist / Analyst,Hashtag Infosystem,"Surat, Gujarat","Break: * 15 min & 30 min ( Two Breaks ).,Fluency In English Speaking (Mandatory)*.,Strong analytical skills – Advanced Excel.,Total work: 1 year (Preferred).",EmployerActive 3 days ago,2022-07-26,"₹15,000 - ₹25,000 a month",https://in.indeed.com/company/Hashtag-Infosystem/jobs/Data-Specialist-2010d2e54530a96e?fccid=c9f15b847d2560fb&vjs=3
